event_datetime,city,temperature,light,airquality_raw,sound,humidity,dust
2015-03-03T17:00:00.000Z,San Francisco,18.43879709,2657.812744,28.55536427,1649.240832,47.60136463,1352.450617
2015-03-03T18:00:00.000Z,San Francisco,19.24193559,2833.00918,27.6352107,1637.621693,44.14197218,1481.00812
2015-03-03T19:00:00.000Z,San Francisco,21.0845922,3581.340117,26.5860061,1629.194762,37.77273277,1264.801776
2015-03-03T20:00:00.000Z,San Francisco,23.0731268,4789.339116,23.69705298,1654.84308,31.23374166,1343.440071
2015-03-03T21:00:00.000Z,San Francisco,24.60062109,4872.408271,23.72145658,1593.8285,30.44210087,979.4007955
2015-03-03T22:00:00.000Z,San Francisco,22.79352672,3734.286891,23.05740316,1607.915462,37.01403137,1079.976067
2015-03-03T23:00:00.000Z,San Francisco,22.11925223,3368.386404,22.33774035,1610.080503,36.92996083,1029.351338
2015-03-04T00:00:00.000Z,San Francisco,20.48215537,2109.385073,22.15403436,1650.763744,40.3154164,959.5841599
2015-03-04T01:00:00.000Z,San Francisco,18.19279918,512.1867237,22.4633892,1620.278893,45.96411475,996.0273795
2015-03-04T02:00:00.000Z,San Francisco,16.7379815,12.97213901,22.25515099,1591.4515,51.04599562,1111.216617
2015-03-04T03:00:00.000Z,San Francisco,16.01659817,2.825659855,22.70956668,1548.601711,55.07590107,1011.756105
2015-03-04T04:00:00.000Z,San Francisco,16.10841839,2.836695671,23.25732355,1517.583874,54.15667209,1020.101948
2015-03-04T05:00:00.000Z,San Francisco,16.49509162,2.327820349,23.78922819,1534.871016,50.4062352,1037.364446
2015-03-04T06:00:00.000Z,San Francisco,16.30991999,1.844912548,25.06395843,1520.140104,52.01499662,1059.809333
2015-03-04T07:00:00.000Z,San Francisco,15.93027153,0.055241592,25.14465888,1529.57669,53.5035078,968.862009
2015-03-04T08:00:00.000Z,San Francisco,15.59190193,0.130901857,24.25967069,1544.5581,55.86395508,1048.577928
2015-03-04T09:00:00.000Z,San Francisco,15.4194805,0.030830379,24.23956394,1535.985635,56.36720394,1002.026348
2015-03-04T10:00:00.000Z,San Francisco,15.14256714,0.026074926,24.51652117,1536.47671,56.82395214,977.5717534
2015-03-04T11:00:00.000Z,San Francisco,14.86680881,0.022408422,24.51958665,1534.375331,57.1413213,943.7094649
2015-03-04T12:00:00.000Z,San Francisco,14.48528821,0.008722741,24.55445325,1549.587849,58.25164722,962.0104877
2015-03-04T13:00:00.000Z,San Francisco,14.27477491,0.004361371,25.45951298,1568.1826,58.75641827,930.4132975
2015-03-04T14:00:00.000Z,San Francisco,14.12355276,71.31782899,27.74452156,1584.294882,59.74933346,942.4124969
2015-03-04T15:00:00.000Z,San Francisco,15.51815642,918.9128239,30.53657917,1604.253037,58.50903973,983.9903736
2015-03-04T16:00:00.000Z,San Francisco,17.35751187,2058.189445,28.28308607,1597.139437,55.4943209,1014.977059
2015-03-04T17:00:00.000Z,San Francisco,18.68085377,2696.599978,26.99239015,1613.822146,51.16317585,982.4223603
2015-03-04T18:00:00.000Z,San Francisco,20.03113348,2864.992459,25.66020065,1667.305855,44.77208632,997.2184134
2015-03-04T19:00:00.000Z,San Francisco,22.06843482,3502.817895,24.28085859,1681.252268,34.79004291,960.6639819
2015-03-04T20:00:00.000Z,San Francisco,24.04318352,4751.038248,24.93123298,1745.081035,27.30164352,968.2535211
2015-03-04T21:00:00.000Z,San Francisco,25.71915854,4398.67282,20.11304458,1766.851184,19.8693837,900.4584912
2015-03-04T22:00:00.000Z,San Francisco,25.54037286,3485.6295,19.68279546,1643.894306,19.80265105,869.1524619
2015-03-04T23:00:00.000Z,San Francisco,25.36630439,2989.89144,21.63548022,1666.595505,24.77976386,924.5686276
2015-03-05T00:00:00.000Z,San Francisco,23.88453258,2030.29299,21.08337146,1692.869682,24.58734534,932.4583663
2015-03-05T01:00:00.000Z,San Francisco,21.24332895,557.7349495,20.66796107,1661.242493,26.21098979,895.5511849
2015-03-05T02:00:00.000Z,San Francisco,19.9308522,17.16396605,20.79341068,1635.425616,27.91273683,934.4758014
2015-03-05T03:00:00.000Z,San Francisco,19.53839309,1.515301065,22.37649358,1606.461148,29.5484774,907.5756476
2015-03-05T04:00:00.000Z,San Francisco,19.09156848,1.516070668,25.11325998,1590.600995,33.01801101,922.0273337
2015-03-05T05:00:00.000Z,San Francisco,18.34061779,1.451255854,26.31224499,1570.56329,37.8657779,919.3411121
2015-03-05T06:00:00.000Z,San Francisco,17.87295596,0.818268742,28.06115799,1569.638443,40.05631107,969.2646399
2015-03-05T07:00:00.000Z,San Francisco,17.38842742,0.468686878,27.28326289,1574.961502,40.56717401,952.4888578
2015-03-05T08:00:00.000Z,San Francisco,16.97778217,0.144174733,26.92403619,1573.687048,40.53209525,951.6123734
2015-03-05T09:00:00.000Z,San Francisco,16.36092136,0.13633461,27.00890181,1538.081186,43.4521629,945.1750469
2015-03-05T10:00:00.000Z,San Francisco,15.91862612,0.16091954,26.68056224,1540.764706,47.23201189,916.5018143
2015-03-05T11:00:00.000Z,San Francisco,15.59863624,0.10918466,26.38862561,1570.986774,49.18906924,921.1701561
2015-03-05T12:00:00.000Z,San Francisco,15.23151469,0.051030341,26.22114787,1573.652762,51.46667967,934.6409337
2015-03-05T13:00:00.000Z,San Francisco,14.89736698,0.04759973,25.69657357,1606.859919,53.47384074,1009.923478
2015-03-05T14:00:00.000Z,San Francisco,14.55943033,96.02343748,28.20405653,1623.187313,54.00012312,1044.24416
2015-03-05T15:00:00.000Z,San Francisco,16.13336851,1166.348149,31.03802094,1628.141572,49.32925735,1085.570839
2015-03-05T16:00:00.000Z,San Francisco,17.99187384,2143.181685,27.60384808,1610.760262,43.01207211,1080.758953
2015-03-05T17:00:00.000Z,San Francisco,19.59072115,2619.714966,24.20017431,1695.46907,36.02705343,1471.345757
2015-03-05T18:00:00.000Z,San Francisco,21.03190606,2753.634222,23.11150901,1674.765958,31.45120821,1346.763037
2015-03-05T19:00:00.000Z,San Francisco,22.87186919,3567.085733,23.1094655,1630.11838,28.1495459,1093.729802
